Country,Annual,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Afghanistan,13.68,0.91,3.02,8.43,14.13,19.21,23.9,25.92,24.43,19.87,13.96,7.43,2.94
Australia,22.14,28.43,27.61,25.79,22.51,18.34,15.37,14.74,16.4,19.97,23.31,25.79,27.39
Albania,12.04,2.41,3.49,6.68,10.61,15.33,19.35,21.95,22.19,17.62,12.87,8.22,3.8
Argentina,14.88,21.49,20.4,18.39,14.7,11.07,8.49,7.69,9.79,12.42,15.46,18.18,20.51
Bangladesh,25.53,18.6,21.23,25.47,27.87,28.4,28.58,28.38,28.52,28.41,27.29,23.8,19.87
Brazil,25.58,26.17,26.12,26.01,25.71,24.81,24.12,24.05,24.94,25.94,26.54,26.32,26.23
Central African Republic,25.31,24.48,26.58,27.53,27.32,26.35,25.08,24.31,24.02,24.24,24.7,24.8,24.25
Cambodia,27.51,25.86,27,28.39,29.36,28.92,28.25,27.67,27.61,27.35,27.05,26.82,25.77
Canada,-4.23,-21.2,-20.04,-15,-6.42,2.26,9.38,13.02,11.6,6.03,-1.7,-10.97,-17.68
Denmark,8.76,1.31,1.35,3.41,7.42,11.49,14.63,17.12,17.08,13.79,9.5,5.46,2.6
Egypt,23.04,13.62,15.24,18.59,22.97,27.09,29.57,30.34,30.6,28.67,25.26,19.5,15.01
Fiji,24.3,25.63,25.99,25.89,25.37,23.97,23.1,22.41,22.61,22.97,23.76,24.66,25.22
Greenland,-15.84,-22.37,-24.23,-25.95,-19.9,-11.96,-5.46,-2.22,-4.7,-11.26,-17.24,-21.72,-23.05
India,24.83,17.72,20.36,24.6,28.36,30.48,29.6,27.48,26.8,26.69,25.36,21.88,18.58
Luxembourg,10.02,1.67,2.62,5.98,9.64,13.57,16.72,18.77,18.31,14.63,10.26,5.51,2.55
Laos,23.76,19.54,21.15,23.48,25.63,26.24,26.27,25.83,25.58,25.28,24.1,22.17,19.87
Maldives,27.8,27.57,28.26,28.21,28.49,28.17,27.96,27.55,27.57,27.51,27.36,27.57,27.42
United Kingdom,9.13,3.9,4.04,5.65,7.8,10.7,13.43,15.32,15.19,12.94,9.78,6.51,4.27
United Arab Emirates,27.63,18.95,20.17,23.04,27.48,31.72,33.54,34.68,34.4,32.62,29.26,24.66,21.02
United States,9.47,-2.64,-0.71,3.29,8.62,14.34,19.15,21.82,20.89,16.82,10.15,3.22,-1.35
